event_id,ticker,ex_date,offset,cum_ret,mkt_ret,abnormal
6733_2022-12-21,6733,2022-12-21,47,0.1534988713318286,0.0770625566636447,0.0764363146681839
6733_2022-12-21,6733,2022-12-21,48,0.1467268623024831,0.0652765185856754,0.0814503437168077
6733_2022-12-21,6733,2022-12-21,49,0.1489841986455982,0.06618313689936528,0.08280106174623292
6733_2022-12-21,6733,2022-12-21,50,0.11963882618510158,0.06119673617407062,0.058442090011030956
6733_2022-12-21,6733,2022-12-21,51,0.13318284424379256,0.07842248413417963,0.05476036010961294
6733_2022-12-21,6733,2022-12-21,52,0.21896162528216712,0.07071622846781511,0.148245396814352
6733_2022-12-21,6733,2022-12-21,53,0.3408577878103838,0.07570262919310977,0.265155158617274
6733_2022-12-21,6733,2022-12-21,54,0.4695259593679457,0.09610154125113346,0.37342441811681226
6733_2022-12-21,6733,2022-12-21,55,0.4063205417607223,0.10471441523118763,0.30160612652953467
6733_2022-12-21,6733,2022-12-21,56,0.5349887133182845,0.10788757932910253,0.4271011339891819
6733_2022-12-21,6733,2022-12-21,57,0.544018058690745,0.1010879419764279,0.44293011671431715
6733_2022-12-21,6733,2022-12-21,58,0.489841986455982,0.09156844968268363,0.39827353677329835
6733_2022-12-21,6733,2022-12-21,59,0.45823927765237027,0.09338168631006338,0.3648575913423069
6733_2022-12-21,6733,2022-12-21,60,0.4785553047404063,0.09882139619220309,0.3797339085482032
8476_2022-12-22,8476,2022-12-22,-30,-0.0852994555353902,-0.06546275395033863,-0.019836701585051575
8476_2022-12-22,8476,2022-12-22,-29,-0.09981851179673318,-0.015801354401805856,-0.08401715739492732
8476_2022-12-22,8476,2022-12-22,-28,-0.1107078039927405,-0.006772009029345383,-0.10393579496339511
8476_2022-12-22,8476,2022-12-22,-27,-0.10526315789473695,0.03566591422121901,-0.14092907211595596
8476_2022-12-22,8476,2022-12-22,-26,-0.11705989110707804,0.0338600451467268,-0.15091993625380484
8476_2022-12-22,8476,2022-12-22,-25,-0.12885662431941924,0.03431151241534991,-0.16316813673476915
8476_2022-12-22,8476,2022-12-22,-24,-0.11796733212341193,0.03160270880361171,-0.14957004092702364
8476_2022-12-22,8476,2022-12-22,-23,-0.1107078039927405,0.027990970654627523,-0.13869877464736802
8476_2022-12-22,8476,2022-12-22,-22,-0.10707803992740472,0.036568848758465,-0.14364688868586972
8476_2022-12-22,8476,2022-12-22,-21,-0.10163339382940106,0.04379232505643338,-0.14542571888583444
8476_2022-12-22,8476,2022-12-22,-20,-0.09437386569872963,0.053724604966139955,-0.14809847066486959
8476_2022-12-22,8476,2022-12-22,-19,-0.09618874773139752,0.053724604966139955,-0.14991335269753747
8476_2022-12-22,8476,2022-12-22,-18,-0.09618874773139752,0.032505643340857704,-0.12869439107225522
8476_2022-12-22,8476,2022-12-22,-17,-0.08348457350272231,0.041986455981941395,-0.1254710294846637
8476_2022-12-22,8476,2022-12-22,-16,-0.038112522686025385,0.05056433408577865,-0.08867685677180404
8476_2022-12-22,8476,2022-12-22,-15,-0.025408348457350294,0.06862302483069982,-0.09403137328805011
8476_2022-12-22,8476,2022-12-22,-14,-0.019963702359346636,0.05914221218961613,-0.07910591454896276
