anchor,year,horizon,n,mean_ret,win_rate
公告日,2014,60,75,-0.07131448123114455,0.24
公告日,2014,6,75,-0.0351466088518928,0.22666666666666666
公告日,2014,7,75,-0.03514202860214921,0.24
公告日,2014,8,75,-0.0388169769957484,0.24
公告日,2014,9,75,-0.04135621903602382,0.2
公告日,2014,-10,75,-0.021055171143037333,0.3466666666666667
公告日,2014,-1,75,0.0,0.0
公告日,2014,-20,75,-0.0442243925256549,0.3466666666666667
公告日,2014,-2,75,-0.0015088438040728464,0.4533333333333333
公告日,2014,-3,75,-0.0034856152826319184,0.44
公告日,2014,-4,75,-0.0035492531129608968,0.48
公告日,2014,-5,75,-0.0022462328110069954,0.48
公告日,2014,-6,75,-0.008087517839249603,0.38666666666666666
公告日,2014,-7,75,-0.011180999416430045,0.4
公告日,2014,-8,75,-0.013505106950183787,0.4
公告日,2014,-9,75,-0.01782825935736323,0.37333333333333335
公告日,2015,0,59,-0.007663082916312468,0.3728813559322034
公告日,2015,10,59,-0.043086821635316803,0.1864406779661017
公告日,2015,1,59,-0.012809281632805924,0.3559322033898305
公告日,2015,20,59,-0.06352032013863704,0.2033898305084746
公告日,2015,2,59,-0.01430464506548817,0.3220338983050847
公告日,2015,30,59,-0.07017606066066061,0.2542372881355932
公告日,2015,3,59,-0.015731191920907776,0.3559322033898305
公告日,2015,4,59,-0.024389331553773277,0.3050847457627119
公告日,2015,5,59,-0.03170520716140292,0.3050847457627119
公告日,2015,60,59,-0.06458174982255555,0.3050847457627119
公告日,2015,6,59,-0.03254468857853394,0.2711864406779661
公告日,2015,7,59,-0.03523380416956771,0.23728813559322035
公告日,2015,8,59,-0.03493331866463095,0.2542372881355932
公告日,2015,9,59,-0.04066133783565329,0.22033898305084745
公告日,2015,-10,59,-0.011230631373279882,0.4406779661016949
公告日,2015,-1,59,0.0,0.0
公告日,2015,-20,59,-0.02282862012820436,0.4067796610169492
公告日,2015,-2,59,0.004005999497761769,0.4745762711864407
公告日,2015,-3,59,-0.001932630171155331,0.423728813559322
公告日,2015,-4,59,-0.00451000778936174,0.423728813559322
公告日,2015,-5,59,-0.004881856353328482,0.4745762711864407
公告日,2015,-6,59,-0.009775592156614393,0.4406779661016949
公告日,2015,-7,59,-0.014188843325228647,0.3389830508474576
公告日,2015,-8,59,-0.01476559418482354,0.3728813559322034
公告日,2015,-9,59,-0.013889237984254437,0.3728813559322034
公告日,2016,0,48,0.004069921207019998,0.5
公告日,2016,10,48,-0.03720039967501517,0.20833333333333334
公告日,2016,1,48,-0.00546649375701608,0.3541666666666667
公告日,2016,20,48,-0.04302736168808535,0.25
公告日,2016,2,48,-0.010365765821424415,0.25
公告日,2016,30,48,-0.03393526553354626,0.2916666666666667
公告日,2016,3,48,-0.016296946448100525,0.2916666666666667
公告日,2016,4,48,-0.01740482973535421,0.2916666666666667
公告日,2016,5,48,-0.02501701395613187,0.22916666666666666
公告日,2016,60,48,-0.027511885692758715,0.3541666666666667
公告日,2016,6,48,-0.02877845441901507,0.1875
公告日,2016,7,48,-0.02363769123338783,0.2916666666666667
公告日,2016,8,48,-0.02992905236145921,0.22916666666666666
公告日,2016,9,48,-0.032258408767737994,0.1875
公告日,2016,-10,48,-0.002475687200223347,0.5208333333333334
公告日,2016,-1,48,0.0,0.0
公告日,2016,-20,48,-0.008439169112599018,0.4166666666666667
公告日,2016,-2,48,0.0049386376192039365,0.5208333333333334
公告日,2016,-3,48,0.009328649071611869,0.4791666666666667
公告日,2016,-4,48,0.013555489222937832,0.5833333333333334
公告日,2016,-5,48,0.012206364433437684,0.5416666666666666
公告日,2016,-6,48,0.008608729586085077,0.5208333333333334
公告日,2016,-7,48,0.005236066215280624,0.4583333333333333
公告日,2016,-8,48,0.005503005895367501,0.5208333333333334
公告日,2016,-9,48,0.004838019453161149,0.5
公告日,2017,0,64,-0.0035291896343338097,0.3125
公告日,2017,10,64,-0.02648337090439151,0.34375
公告日,2017,1,64,-0.011743048016325837,0.375
公告日,2017,20,64,-0.047390184371972635,0.265625
公告日,2017,2,64,-0.019368220288787173,0.3125
公告日,2017,30,64,-0.0377819584020123,0.375
公告日,2017,3,64,-0.019867404620244604,0.328125
公告日,2017,4,64,-0.02627839999421131,0.265625
公告日,2017,5,64,-0.03839586082700682,0.21875
公告日,2017,60,64,-0.012137594313694816,0.484375
公告日,2017,6,64,-0.0340984530907603,0.296875
公告日,2017,7,64,-0.03520171697613378,0.296875
公告日,2017,8,64,-0.02799301036435888,0.328125
公告日,2017,9,64,-0.02520010674493449,0.328125
公告日,2017,-10,64,-0.019765386215925468,0.375
公告日,2017,-1,64,0.0,0.0
公告日,2017,-20,64,-0.02821936349593642,0.359375
公告日,2017,-2,64,-0.0012893251203909065,0.4375
公告日,2017,-3,64,-0.0027327469605215697,0.40625
公告日,2017,-4,64,-0.009827948803610287,0.390625
公告日,2017,-5,64,-0.014817028615179445,0.4375
公告日,2017,-6,64,-0.020384242342433564,0.34375
公告日,2017,-7,64,-0.019663150746112096,0.359375
公告日,2017,-8,64,-0.017632906177729613,0.40625
公告日,2017,-9,64,-0.019198778890438375,0.390625
公告日,2018,0,77,-0.00710702066684581,0.35064935064935066
公告日,2018,10,77,-0.040009451539855724,0.23376623376623376
公告日,2018,1,77,-0.012339326319111457,0.38961038961038963
公告日,2018,20,77,-0.046268210713807364,0.2077922077922078
公告日,2018,2,77,-0.013257035014648475,0.35064935064935066
公告日,2018,30,77,-0.03936280465842754,0.2727272727272727
公告日,2018,3,77,-0.0219466564362973,0.2857142857142857
公告日,2018,4,77,-0.0198919886818372,0.2857142857142857
公告日,2018,5,77,-0.03616367375899972,0.19480519480519481
公告日,2018,60,77,-0.04643502029688706,0.35064935064935066
公告日,2018,6,77,-0.03707580721046556,0.2077922077922078
公告日,2018,7,77,-0.03919237520151408,0.19480519480519481
公告日,2018,8,77,-0.0370691425632225,0.23376623376623376
公告日,2018,9,77,-0.03891729970678212,0.22077922077922077
公告日,2018,-10,77,0.002582982586690025,0.5324675324675324
公告日,2018,-1,77,0.0,0.0
公告日,2018,-20,77,0.015489609596154714,0.4935064935064935
公告日,2018,-2,77,0.0020176186951744004,0.45454545454545453
公告日,2018,-3,77,0.00296284991561386,0.5064935064935064
公告日,2018,-4,77,-0.0008464289480751827,0.4675324675324675
公告日,2018,-5,77,-0.0005603913232035259,0.42857142857142855
公告日,2018,-6,77,0.004782365112152297,0.4935064935064935
公告日,2018,-7,77,0.0034383594999673464,0.5714285714285714
公告日,2018,-8,77,0.0029423725004239926,0.5584415584415584
公告日,2018,-9,77,0.0009443932428317129,0.5064935064935064
公告日,2019,0,72,0.004172670621484253,0.4444444444444444
公告日,2019,10,72,-0.014198136415940501,0.3194444444444444
公告日,2019,1,72,-0.003140943412195162,0.3472222222222222
公告日,2019,20,72,-0.020495135496888504,0.3194444444444444
公告日,2019,2,72,-0.0017318215172887758,0.4027777777777778
公告日,2019,30,72,-0.022559663468119658,0.3194444444444444
公告日,2019,3,72,-0.004884914888207024,0.4027777777777778
公告日,2019,4,72,-0.0004601914651830497,0.4166666666666667
公告日,2019,5,72,-0.01346939856147978,0.2916666666666667
公告日,2019,60,72,-0.03451546653231863,0.3194444444444444
公告日,2019,6,72,-0.01230272892826178,0.3055555555555556
公告日,2019,7,72,-0.012873480149552505,0.3194444444444444
公告日,2019,8,72,-0.010732464455560756,0.2638888888888889
公告日,2019,9,72,-0.009708600017750046,0.3055555555555556
公告日,2019,-10,72,-0.004164366523722358,0.4583333333333333
公告日,2019,-1,72,0.0,0.0
