代號,名稱,規模,年份,起始日,出關日,條款,前日漲幅(%),D1跳空(%),符合因子,加強訊號,D1%,D3%,D5%,D8%,策略報酬(%)
3624,光頡,中,2026,2026-05-21,2026-06-04,連續3日,-1.32,2.11,,,1.67,4.44,4.44,25.56,12.76
8455,大拓-KY,小,2026,2026-05-21,2026-06-04,連續3日,9.95,7.22,,,-1.95,-5.96,-8.93,-4.24,-14.73
3008,大立光,大,2026,2026-05-20,2026-06-03,10日6次,2.28,-1.04,✅,⭐,-4.90,5.20,8.92,4.46,24.17
6924,榮惠-KY創,小,2026,2026-05-20,2026-06-03,10日6次,10.00,-4.08,,,2.19,5.64,0.94,14.11,14.98
8091,翔名,中,2026,2026-05-20,2026-06-03,連續3日,1.15,-1.14,,,-3.80,1.33,2.28,-1.14,0.63
3498,陽程,小,2026,2026-05-19,2026-06-02,連續3日,-3.02,-1.04,,,-5.54,1.38,10.03,0.35,2.57
6449,鈺邦,中,2026,2026-05-19,2026-06-02,10日6次,3.04,-4.43,✅,⭐,-9.78,8.86,18.08,38.38,51.79
3135,凌航,中,2026,2026-05-18,2026-06-01,連續5日,-2.04,-4.40,,,-3.70,-11.81,-2.08,12.04,20.08
2492,華新科,大,2026,2026-05-15,2026-05-29,連續3日,10.00,-2.27,,,-6.36,0.00,20.91,49.32,90.91
4966,譜瑞-KY,大,2026,2026-05-15,2026-05-29,連續3日,1.24,-0.73,,,-2.32,-11.11,-3.66,-1.47,3.89
6263,普萊德,中,2026,2026-05-15,2026-05-29,連續3日,-3.45,2.75,,,-6.04,-5.22,-2.75,1.65,4.03
6831,邁科,中,2026,2026-05-15,2026-05-29,連續3日,4.94,3.19,✅,,0.42,1.52,8.17,13.57,1.99
8069,元太,大,2026,2026-05-15,2026-05-29,連續3日,5.12,0.00,✅,⭐,-7.08,-1.77,1.99,3.98,4.40
8114,振樺電,中,2026,2026-05-15,2026-05-29,連續3日,-2.83,-0.62,,,-10.00,-10.21,0.83,8.54,13.53
7769,鴻勁,大,2026,2026-05-14,2026-05-28,連續3日,8.30,0.00,✅,⭐,1.61,-10.55,-6.18,2.76,1.49
1809,中釉,小,2026,2026-05-13,2026-05-27,10日6次,2.02,-3.96,✅,⭐,-3.47,-4.46,-5.20,2.72,13.49
2059,川湖,大,2026,2026-05-13,2026-05-27,10日6次,-1.36,-1.74,,,-3.58,-10.74,-18.27,-6.52,-6.64
3450,聯鈞,大,2026,2026-05-13,2026-05-27,10日6次,9.93,-3.83,,,-6.27,-15.94,-16.58,-2.34,13.25
4561,健椿,小,2026,2026-05-12,2026-05-26,連續5日,0.39,-1.16,,,-2.71,-6.10,-3.39,-4.84,-0.76
6182,合晶,中,2026,2026-05-12,2026-05-26,連續3日,2.99,-2.73,✅,⭐,-3.92,-2.05,-6.14,8.53,49.55
6488,環球晶,大,2026,2026-05-12,2026-05-26,連續3日,4.11,-0.72,✅,⭐,-5.99,-5.63,-16.41,-16.05,9.96
8227,巨有科技,小,2026,2026-05-12,2026-05-26,連續3日,3.20,0.44,✅,,-5.97,-8.41,-7.96,-8.63,5.29
1595,川寶,小,2026,2026-05-11,2026-05-25,連續3日,2.08,-5.19,✅,⭐,-4.18,-5.09,-13.44,-9.67,1.66
5464,霖宏,小,2026,2026-05-11,2026-05-25,連續3日,9.97,0.38,,,9.92,18.32,8.97,28.82,26.38
8042,金山電,中,2026,2026-05-11,2026-05-25,連續3日,-1.06,-0.36,,,5.71,26.04,16.65,38.53,51.50
3030,德律,大,2026,2026-05-08,2026-05-22,連續3日,1.09,-1.80,,,-6.71,-2.28,-3.59,-13.53,7.35
1597,直得,中,2026,2026-05-07,2026-05-21,連續3日,2.89,1.12,✅,,1.40,2.25,6.18,6.46,-8.11
2233,宇隆,中,2026,2026-05-07,2026-05-21,連續3日,0.32,-1.74,,,-6.50,-4.12,-8.72,2.85,16.59
2454,聯發科,大,2026,2026-05-07,2026-05-21,連續3日,8.72,0.00,✅,⭐,-0.29,13.12,1.90,-0.87,3.44
3016,嘉晶,中,2026,2026-05-07,2026-05-21,連續3日,6.02,-2.18,✅,⭐,3.49,12.23,5.68,-3.06,-2.89
8064,東捷,中,2026,2026-05-07,2026-05-21,連續3日,-10.00,-1.78,,,-4.00,0.89,5.33,17.33,11.22
6405,悅城,小,2026,2026-05-06,2026-05-20,10日6次,9.84,-2.28,,,-9.45,4.89,-5.21,-4.72,-4.13
8027,鈦昇,中,2026,2026-05-06,2026-05-20,連續3日,0.00,-0.99,,,-3.22,0.50,19.55,22.28,22.41
4951,精拓科,小,2026,2026-05-05,2026-05-19,連續3日,9.66,-0.38,,,7.28,1.15,-6.90,-1.53,-16.79
6234,高僑,小,2026,2026-05-05,2026-05-19,連續3日,9.85,-2.41,,,6.90,6.90,-6.90,-3.45,-23.82
4542,科嶠,小,2026,2026-04-30,2026-05-15,10日6次,9.80,4.34,,,1.53,22.45,8.67,8.93,2.66
6658,聯策,小,2026,2026-04-29,2026-05-14,連續3日,9.88,7.49,,,9.74,7.49,16.48,32.21,31.38
2429,銘旺科,小,2026,2026-04-28,2026-05-13,連續3日,-9.85,-9.56,,,-0.36,-5.10,-6.38,-2.00,-10.59
3228,金麗科,中,2026,2026-04-27,2026-05-12,連續3日,8.44,-2.52,✅,⭐,-0.23,-9.38,-8.47,17.85,3.54
3430,奇鈦科,小,2026,2026-04-27,2026-05-12,連續3日,-3.45,-2.68,,,-1.79,8.04,19.64,33.04,61.46
3631,晟楠,小,2026,2026-04-27,2026-05-12,連續3日,-5.51,-4.51,,,-0.40,0.53,1.59,3.85,10.03
6531,愛普*,大,2026,2026-04-27,2026-05-12,連續3日,0.38,0.51,,,-4.44,4.06,17.26,17.39,39.75
6735,美達科技,小,2026,2026-04-27,2026-05-12,連續3日,9.95,9.47,,,9.88,8.64,-0.82,11.11,1.14
1623,大東電,中,2026,2026-04-24,2026-05-11,連續3日,-2.35,-0.40,,,-3.61,-4.62,-4.02,-1.81,0.68
1721,三晃,小,2026,2026-04-24,2026-05-11,連續3日,9.91,-8.18,,,-8.85,-12.85,-19.20,-5.18,14.48
3653,健策,大,2026,2026-04-24,2026-05-11,連續3日,-1.85,3.58,,,1.13,-6.78,1.32,-18.93,-25.59
4768,晶呈科技,中,2026,2026-04-24,2026-05-11,10日6次,-4.46,2.33,,,-2.14,-4.28,-3.31,1.36,-3.24
5498,凱崴,中,2026,2026-04-24,2026-05-11,10日6次,-3.86,-0.39,,,-7.38,-10.75,-4.27,-2.98,-3.71
6415,矽力*-KY,大,2026,2026-04-24,2026-05-11,連續3日,3.23,4.93,✅,,4.93,-0.60,2.77,2.05,6.98
6423,億而得,小,2026,2026-04-24,2026-05-11,連續3日,1.21,-3.19,,,-9.56,-13.15,-12.75,-7.17,4.49
6643,M31,中,2026,2026-04-24,2026-05-11,連續5日,-9.90,3.01,,,1.24,-7.09,-2.84,15.25,19.26
6861,睿生光電,中,2026,2026-04-24,2026-05-11,連續3日,9.79,6.16,,,9.98,15.92,39.28,59.66,49.84
8092,建暐,小,2026,2026-04-24,2026-05-11,連續3日,-5.93,2.01,,,0.86,-7.45,-9.46,2.87,1.63
3221,台嘉碩,小,2026,2026-04-23,2026-05-08,連續3日,-5.97,-1.69,,,-9.92,-19.54,-13.10,-11.90,-0.80
3518,柏騰,小,2026,2026-04-23,2026-05-08,連續3日,5.48,-0.92,✅,⭐,-6.42,-10.40,0.31,11.77,17.29
6213,聯茂,大,2026,2026-04-23,2026-05-12,連續3日+當沖,3.85,1.68,✅,,-7.58,-10.77,-14.65,-4.38,3.65
2484,希華,小,2026,2026-04-22,2026-05-07,10日6次,5.69,-0.81,✅,⭐,-3.55,-18.38,-17.77,-15.74,-5.94
3388,崇越電,小,2026,2026-04-22,2026-05-07,連續3日,9.63,-3.77,,,0.84,-6.28,-12.55,-3.77,-8.24
3529,力旺,大,2026,2026-04-22,2026-05-07,連續3日,0.34,-2.05,,,-7.84,-11.36,-9.43,-5.00,15.67
4919,新唐,大,2026,2026-04-22,2026-05-07,10日6次,2.12,2.42,✅,,6.57,0.35,3.11,12.11,14.58
4939,亞電,小,2026,2026-04-22,2026-05-07,連續3日,1.77,-1.19,,,-2.82,-9.99,-5.54,-4.45,-2.70
4956,光鋐,小,2026,2026-04-22,2026-05-07,10日6次,-2.74,-0.38,,,2.07,-14.38,-9.21,-7.89,-3.12
5475,德宏,中,2026,2026-04-22,2026-05-07,連續3日,-3.75,0.00,,,0.26,-12.86,-11.95,-7.53,-10.20
6442,光聖,大,2026,2026-04-22,2026-05-07,10日6次,-1.27,-0.85,,,-4.27,-19.66,-18.59,-10.90,-6.83
8182,加高,小,2026,2026-04-22,2026-05-07,連續3日,2.68,0.00,✅,⭐,-5.78,-15.53,-16.10,-13.49,3.37
8289,泰藝,小,2026,2026-04-22,2026-05-07,連續3日,3.66,-2.83,✅,⭐,-7.60,-20.58,-18.73,-17.31,0.03
8358,金居,大,2026,2026-04-22,2026-05-07,連續3日,-2.60,-0.89,,,0.00,-8.64,-8.01,2.29,18.83
