pair,branch_i,branch_j,d0,code,d1,period,i_net_amt_wan,i_influence_pct,j_net_amt_wan,j_influence_pct,d1_open,d1_high,d1_close,stop_price,stopped,frozen,short_ret_pct,abs20_excluded,success
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-01-17,5426,2024-01-18,in_sample,1626.75,1.2602,3489.75,2.7033,34.9,35.5,35.1,36.358,False,False,-0.5731,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-01-19,3623,2024-01-22,in_sample,782.92,1.5243,1514.78,2.9491,46.8,46.8,40.45,45.864,True,False,2.0,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-01-22,6237,2024-01-23,in_sample,1148.73,1.8854,2531.1,4.1543,65.6,71.3,71.3,69.874,True,False,-6.5152,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-01-24,4909,2024-01-25,in_sample,2095.72,0.9879,3751.0,1.7681,48.75,51.4,45.7,52.136,False,False,6.2564,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-01-25,3623,2024-01-26,in_sample,863.675,1.9103,1843.15,4.0768,50.0,51.0,44.3,51.94,False,False,11.4,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-02-16,2365,2024-02-19,in_sample,1417.84,0.7186,421.52,0.2136,25.0,25.95,24.45,25.774,True,False,-3.096,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-02-16,2369,2024-02-19,in_sample,2096.26,1.1868,5153.54,2.9177,29.0,30.75,28.4,30.282,True,False,-4.4207,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-02-16,5284,2024-02-19,in_sample,1072.6,0.7312,3165.9,2.1583,181.5,181.5,175.0,186.2,False,False,3.5813,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-02-16,5443,2024-02-19,in_sample,424.705,1.2639,121.945,0.3629,43.8,44.65,44.0,45.325,False,False,-0.4566,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-02-20,1316,2024-02-21,in_sample,897.92,1.1533,2410.4,3.096,18.8,19.2,18.1,19.796,False,False,3.7234,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-02-20,3055,2024-02-21,in_sample,1457.28,1.6428,2434.32,2.7443,85.6,88.7,84.2,89.18,False,False,1.6355,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-02-20,6164,2024-02-21,in_sample,315.62,0.8518,825.75,2.2287,18.35,18.35,17.25,19.747,False,False,5.9946,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-02-21,3025,2024-02-22,in_sample,1204.5,0.7128,3285.0,1.9439,74.3,80.3,80.3,78.694,True,False,-5.9139,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-02-21,3663,2024-02-22,in_sample,586.82,2.6432,1553.63,6.9979,49.5,49.65,48.0,51.842,False,False,3.0303,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-02-21,6126,2024-02-22,in_sample,966.96,1.1919,1823.76,2.248,42.3,42.85,40.9,43.953,False,False,3.3097,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-02-22,8059,2024-02-23,in_sample,530.005,1.1532,1522.27,3.3123,42.15,43.5,39.25,42.924,True,False,-1.8363,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-02-23,3312,2024-02-26,in_sample,680.24,1.4193,1708.33,3.5643,40.0,40.2,39.3,41.65,False,False,1.75,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-02-23,4908,2024-02-26,in_sample,1364.0,0.4927,6125.6,2.2126,126.0,135.0,121.5,133.28,True,False,-5.7778,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-02-26,4909,2024-02-27,in_sample,1476.0,1.0971,636.0,0.4727,61.0,62.8,59.8,64.68,False,False,1.9672,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-02-26,6532,2024-02-27,in_sample,745.2,1.3422,1482.12,2.6694,86.0,88.4,82.0,89.18,False,False,4.6512,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-02-29,7402,2024-03-01,in_sample,530.0,1.4048,1378.0,3.6524,109.5,116.5,116.5,114.17,True,False,-4.2648,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-03-01,1725,2024-03-04,in_sample,157.25,1.97,163.54,2.0488,32.8,34.55,34.55,33.859,True,False,-3.2287,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-03-01,3372,2024-03-04,in_sample,1299.3,1.7817,506.94,0.6952,23.0,23.4,23.4,22.932,True,False,0.2957,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-03-01,7402,2024-03-04,in_sample,314.55,0.7854,1817.4,4.5379,120.5,123.0,116.0,125.44,False,False,3.7344,False,True
