code,name,lock_start,lock_end,lock_days,d1,entry_day,entry_open,entry_o,entry_h,entry_l,entry_c,base_ret,tp2_ret,tp2_hit,censored,entry_is_ceiling,citycenter_overlap,cum_net_buy_ntd,flip_ratio,year
6176,瑞儀,2026-04-22,2026-04-23,2,2026-04-24,2026-04-24,107.0,107.0,116.5,101.0,110.0,-2.803738317757009,2.0000000000000004,True,False,False,True,44274900.0,1.192549277355793,2026
6290,良維,2026-04-23,2026-04-23,1,2026-04-24,2026-04-24,318.5,318.5,329.5,301.5,317.0,0.4709576138147566,2.0000000000000013,True,False,False,False,386190000.0,0.9218027395841424,2026
8240,華宏,2026-04-23,2026-04-23,1,2026-04-24,2026-04-24,73.9,73.9,76.7,67.2,68.0,7.98376184032477,1.9999999999999925,True,False,False,False,48048000.0,0.9284049284049284,2026
1727,中華化,2026-04-24,2026-04-24,1,2026-04-27,2026-04-27,75.5,75.5,76.7,66.0,73.8,2.2516556291390764,2.0000000000000067,True,False,False,True,99969800.0,1.0394179042070706,2026
2368,金像電,2026-04-24,2026-04-24,1,2026-04-27,2026-04-27,1420.0,1420.0,1470.0,1385.0,1420.0,0.0,2.000000000000006,True,False,False,False,90350000.0,-0.0,2026
2454,聯發科,2026-04-24,2026-04-24,1,2026-04-27,2026-04-27,2470.0,2470.0,2575.0,2410.0,2435.0,1.417004048582996,2.0000000000000036,True,False,False,False,501610000.0,5.101941747572815,2026
3017,奇鋐,2026-04-24,2026-04-24,1,2026-04-27,2026-04-27,2990.0,2990.0,3010.0,2820.0,2835.0,5.183946488294314,2.0000000000000058,True,False,False,False,209095000.0,0.5965709366555871,2026
3035,智原,2026-04-24,2026-04-24,1,2026-04-27,2026-04-27,195.0,195.0,198.5,182.5,186.5,4.358974358974359,2.0000000000000027,True,False,False,False,45510000.0,-0.0,2026
3189,景碩,2026-04-24,2026-04-24,1,2026-04-27,2026-04-27,546.0,546.0,555.0,502.0,515.0,5.677655677655678,1.9999999999999925,True,False,False,False,542306000.0,0.1547926816225525,2026
3324,雙鴻,2026-04-24,2026-04-24,1,2026-04-27,2026-04-27,1270.0,1270.0,1305.0,1165.0,1180.0,7.086614173228346,2.000000000000007,True,False,False,False,504225000.0,0.6716446031037732,2026
6672,騰輝電子-KY,2026-04-24,2026-04-24,1,2026-04-27,2026-04-27,218.0,218.0,218.5,200.5,207.5,4.81651376146789,2.000000000000006,True,False,False,True,45047000.0,0.9627167180944348,2026
6789,采鈺,2026-04-24,2026-04-24,1,2026-04-27,2026-04-27,586.0,586.0,593.0,546.0,557.0,4.948805460750854,2.0000000000000044,True,False,False,False,138670000.0,1.004182591764621,2026
8027,鈦昇,2026-04-24,2026-04-24,1,2026-04-27,2026-04-28,172.0,153.5,169.0,148.5,163.0,-6.188925081433225,1.9999999999999956,True,False,True,False,274501000.0,0.7564781184767997,2026
8028,昇陽半導體,2026-04-24,2026-04-24,1,2026-04-27,2026-04-27,253.5,253.5,257.0,226.0,229.5,9.467455621301776,1.9999999999999973,True,False,False,False,120516000.0,-0.0,2026
8046,南電,2026-04-24,2026-04-24,1,2026-04-27,2026-04-27,930.0,930.0,959.0,860.0,913.0,1.827956989247312,2.0000000000000027,True,False,False,False,138092000.0,0.9983416852533094,2026
8064,東捷,2026-04-24,2026-04-24,1,2026-04-27,2026-04-27,89.0,89.0,90.5,77.1,78.5,11.797752808988765,2.0000000000000013,True,False,False,False,166631800.00000003,0.9233531654822188,2026
8210,勤誠,2026-04-24,2026-04-24,1,2026-04-27,2026-04-27,1300.0,1300.0,1300.0,1110.0,1165.0,10.384615384615383,2.0,True,False,False,False,87120000.0,0.0,2026
2313,華通,2026-04-27,2026-04-27,1,2026-04-28,2026-04-28,236.0,236.0,242.0,230.0,239.5,-1.4830508474576272,1.9999999999999993,True,False,False,False,154252500.0,0.0,2026
2408,南亞科,2026-04-27,2026-04-27,1,2026-04-28,2026-04-28,234.5,234.5,242.5,231.5,237.5,-1.279317697228145,-1.279317697228145,False,False,False,False,1471797000.0,0.5525218491408802,2026
3374,精材,2026-04-27,2026-04-27,1,2026-04-28,2026-04-28,220.0,220.0,231.0,211.0,213.0,3.1818181818181817,2.0000000000000027,True,False,False,False,284054000.0,1.0985411224626302,2026
4967,十銓,2026-04-27,2026-04-27,1,2026-04-28,2026-04-28,292.0,292.0,310.0,279.0,303.0,-3.767123287671233,2.0000000000000107,True,False,False,False,252476000.0,0.1728164261157496,2026
