急拉幅度,進場回落,停損距離,量能倍率,信號窗口,樣本數,勝率,均報酬,PF,停損率
>=7%,2.5%,0.5%,1.0,20,6161,0.650219120272683,0.015673734723711877,3.1552948507703036,0.050641129686739166
>=7%,2.5%,0.5%,1.0,30,7603,0.6415888465079573,0.014398620993291386,2.9730195302883233,0.056030514270682626
>=7%,2.5%,0.5%,1.0,45,9217,0.6297059780839752,0.012914843922073621,2.778374363698591,0.05837040251708799
>=7%,2.5%,0.5%,1.0,60,10446,0.6204288722956155,0.0117566502799887,2.6098968348346787,0.06059735784032166
>=7%,2.5%,0.5%,1.0,90,12279,0.5989901457773434,0.01008726734259958,2.35470000550008,0.06572196432934278
>=7%,2.5%,0.5%,1.0,120,13689,0.5798816568047337,0.008844039168805601,2.1695053024569155,0.07093286580466068
>=7%,2.5%,0.5%,1.5,15,4860,0.652880658436214,0.0164476460264554,3.2293463977509402,0.046296296296296294
>=7%,2.5%,0.5%,1.5,20,5718,0.6491780342777195,0.015590585975861618,3.1230163897702328,0.05036726128016789
>=7%,2.5%,0.5%,1.5,30,6969,0.6385421150810733,0.014303444666668736,2.931703702515496,0.05653608839144784
>=7%,2.5%,0.5%,1.5,45,8385,0.6264758497316637,0.012904108292220893,2.748799130601379,0.05891472868217054
>=7%,2.5%,0.5%,1.5,60,9450,0.6173544973544973,0.011694998856360318,2.5753603022767115,0.06052910052910053
>=7%,2.5%,0.5%,1.5,90,10935,0.5973479652491999,0.010184701670499854,2.3482963443033804,0.06502057613168724
>=7%,2.5%,0.5%,1.5,120,12055,0.5804230609705516,0.009041004029053243,2.1818097055738908,0.06968063044379925
>=7%,2.5%,0.5%,2.0,15,4477,0.6504355595264686,0.01629147855088012,3.1827917094606724,0.04668304668304668
>=7%,2.5%,0.5%,2.0,20,5235,0.64603629417383,0.015359296800873633,3.0693233273172678,0.04947468958930277
>=7%,2.5%,0.5%,2.0,30,6321,0.6351843062806518,0.013976366357439358,2.85912608939613,0.05537098560354374
>=7%,2.5%,0.5%,2.0,45,7497,0.6238495398159264,0.012701395077859832,2.691456501555916,0.05869014272375617
>=7%,2.5%,0.5%,2.0,60,8326,0.6167427336055729,0.011701744609319708,2.559082722538892,0.05909200096084554
>=7%,2.5%,0.5%,2.0,90,9477,0.596602300306004,0.010194118708493656,2.33498750720478,0.0639442861665084
>=7%,2.5%,0.5%,2.0,120,10363,0.5804303773038695,0.009142156316726581,2.1837693359392567,0.0677410016404516
>=7%,2.5%,1.0%,1.0,15,5248,0.6577743902439024,0.01675820022304634,3.320468354251094,0.02934451219512195
>=7%,2.5%,1.0%,1.0,20,6161,0.6513552994643727,0.015690758052606175,3.1587063505344344,0.03359844181139426
>=7%,2.5%,1.0%,1.0,30,7603,0.6429041167960016,0.014427951261715956,2.9817459336324967,0.03616993292121531
>=7%,2.5%,1.0%,1.0,45,9217,0.6311164153195182,0.012944629234517226,2.7866811201348387,0.0378648150157318
>=7%,2.5%,1.0%,1.0,60,10446,0.6220562894887995,0.011791791245741024,2.6177864219177422,0.03924947348267279
>=7%,2.5%,1.0%,1.0,90,12279,0.6003746233406629,0.010128339804780933,2.364429690551807,0.04186008632624807
>=7%,2.5%,1.0%,1.0,120,13689,0.5819270947476076,0.008923181280417766,2.1876260766899662,0.044561326612608664
>=7%,2.5%,1.0%,1.5,15,4860,0.6541152263374486,0.016476148973156923,3.2369420166545315,0.030246913580246913
>=7%,2.5%,1.0%,1.5,20,5718,0.6502273522210563,0.015613948044432852,3.128980397174331,0.033403287862889125
>=7%,2.5%,1.0%,1.5,30,6969,0.6398335485722485,0.01434440907849978,2.94470690456306,0.03659061558329746
>=7%,2.5%,1.0%,1.5,45,8385,0.627906976744186,0.01294893877099434,2.762362568473912,0.03756708407871199
>=7%,2.5%,1.0%,1.5,60,9450,0.6189417989417989,0.011743927796932303,2.58768595202842,0.038835978835978835
>=7%,2.5%,1.0%,1.5,90,10935,0.5988111568358482,0.010233157417402388,2.359845257807297,0.04133516232281664
>=7%,2.5%,1.0%,1.5,120,12055,0.5824968892575695,0.009129325561169126,2.202471621826427,0.04338448776441311
>=7%,2.5%,1.0%,2.0,15,4477,0.6517757426848336,0.016337102001474826,3.1971604397304394,0.029930757203484475
>=7%,2.5%,1.0%,2.0,20,5235,0.6471824259789876,0.015377184028996547,3.072530116711065,0.03247373447946514
>=7%,2.5%,1.0%,2.0,30,6321,0.6364499288087327,0.014007915892710023,2.867852773246472,0.03559563360227812
>=7%,2.5%,1.0%,2.0,45,7497,0.6253167933840202,0.012732733448387375,2.699402688309713,0.037881819394424435
>=7%,2.5%,1.0%,2.0,60,8326,0.6184242133077108,0.011740703786343154,2.5672442628292926,0.03795339899111218
>=7%,2.5%,1.0%,2.0,90,9477,0.598079561042524,0.010238884654605448,2.3449074146767663,0.039991558510077026
>=7%,2.5%,1.0%,2.0,120,10363,0.582553314677217,0.009218341677373322,2.2004810584158707,0.04207275885361382
>=7%,3.0%,0.3%,1.0,15,4967,0.640225488222267,0.014144950361377449,2.7513816213332225,0.05395611032816589
>=7%,3.0%,0.3%,1.0,20,5824,0.6306662087912088,0.013015259966076904,2.5931359013977033,0.05992445054945055
>=7%,3.0%,0.3%,1.0,30,7144,0.6226203807390818,0.011824545842417603,2.4487919089505445,0.06466965285554312
>=7%,3.0%,0.3%,1.0,45,8569,0.6081223013187069,0.010481723532933944,2.2896983999217873,0.06640214727506127
>=7%,3.0%,0.3%,1.0,60,9632,0.5957225913621262,0.009460922559101198,2.1627394645169673,0.06862541528239202
>=7%,3.0%,0.3%,1.0,90,11108,0.5756211739287,0.008128496691448595,1.9891557728071274,0.07157003961109111
>=7%,3.0%,0.3%,1.0,120,12146,0.5607607442779516,0.007226746208143468,1.8729522360834385,0.07385147373620946
>=7%,3.0%,0.3%,1.5,15,4595,0.6365614798694232,0.013893616327702859,2.6898223456624972,0.055059847660500545
>=7%,3.0%,0.3%,1.5,20,5404,0.6291635825314582,0.012920802417789227,2.564239635333017,0.05958549222797927
>=7%,3.0%,0.3%,1.5,30,6545,0.6195569136745608,0.011727979305692042,2.4133614116493987,0.06524064171122995
>=7%,3.0%,0.3%,1.5,45,7792,0.6047227926078029,0.010475320666817969,2.2667652034716594,0.06686344969199179
>=7%,3.0%,0.3%,1.5,60,8716,0.5923588802202845,0.009375612510449195,2.1299885946165658,0.06849472234970169
>=7%,3.0%,0.3%,1.5,90,9908,0.5738796931772305,0.008188624346707736,1.978418968019717,0.07105369398465886
>=7%,3.0%,0.3%,1.5,120,10719,0.5612463849239668,0.0074036528944999205,1.883075544056527,0.07267468980315328
>=7%,3.0%,0.3%,2.0,15,4230,0.6349881796690308,0.013750088730158747,2.6517977728211974,0.05555555555555555
>=7%,3.0%,0.3%,2.0,20,4946,0.625353821269713,0.012703346523078522,2.522304970162146,0.05863323898099474
>=7%,3.0%,0.3%,2.0,30,5927,0.6156571621393623,0.011440108207589509,2.3603615637137167,0.06428209886957989
>=7%,3.0%,0.3%,2.0,45,6966,0.6032156187194947,0.010305891769336627,2.2281595728883454,0.06646569049669825
>=7%,3.0%,0.3%,2.0,60,7678,0.5931232091690545,0.009414620527271208,2.124711620597673,0.06694451680125033
>=7%,3.0%,0.3%,2.0,90,8591,0.574671167500873,0.008224855764592932,1.9756132546826273,0.06984053078803398
>=7%,3.0%,0.3%,2.0,120,9229,0.5619243688373605,0.007499172638434833,1.8862837242249675,0.07097193628778849
>=7%,3.0%,0.5%,1.0,15,4967,0.6410308033017919,0.014191892743060281,2.7653102853136304,0.044694986913629955
>=7%,3.0%,0.5%,1.0,20,5824,0.631353021978022,0.01305899593026851,2.605440179702854,0.04979395604395604
>=7%,3.0%,0.5%,1.0,30,7144,0.6231802911534154,0.011856308109228154,2.4571366142318753,0.0530515117581187
>=7%,3.0%,0.5%,1.0,45,8569,0.6087057999766601,0.010531327634909372,2.301794567905436,0.05391527599486521
>=7%,3.0%,0.5%,1.0,60,9632,0.5963455149501661,0.009513526630669636,2.175036314986823,0.05492109634551495
>=7%,3.0%,0.5%,1.0,90,11108,0.5764314007922218,0.008201220892101986,2.0050193467506388,0.056445804825351095
>=7%,3.0%,0.5%,1.0,120,12146,0.5615017289642681,0.007294786206685128,1.8869543147227281,0.05894944837806685
>=7%,3.0%,0.5%,1.5,15,4595,0.6374319912948857,0.013937895786509582,2.7021798345388,0.04570184983677911
>=7%,3.0%,0.5%,1.5,20,5404,0.6299037749814952,0.012966406417696388,2.576744805718628,0.049592894152479645
>=7%,3.0%,0.5%,1.5,30,6545,0.6201680672268908,0.011757654572850228,2.4207439792415295,0.05362872421695951
>=7%,3.0%,0.5%,1.5,45,7792,0.605364476386037,0.010525425905436855,2.2784982786557997,0.05454312114989733
>=7%,3.0%,0.5%,1.5,60,8716,0.5929325378614043,0.009426318571350612,2.1414267443101673,0.05507113354749885
>=7%,3.0%,0.5%,1.5,90,9908,0.5746871215179653,0.008261081013902796,1.9937920768146338,0.05601534113847396
>=7%,3.0%,0.5%,1.5,120,10719,0.5619927232017912,0.00747564064973143,1.897796830530128,0.05793450881612091
>=7%,3.0%,0.5%,2.0,15,4230,0.6359338061465721,0.01380066050062459,2.6656875535281888,0.046335697399527184
>=7%,3.0%,0.5%,2.0,20,4946,0.6261625556004853,0.012754321584255662,2.5359830939779937,0.04892842701172665
>=7%,3.0%,0.5%,2.0,30,5927,0.6163320398177831,0.011481138999642938,2.3705880172175307,0.05230302007761093
>=7%,3.0%,0.5%,2.0,45,6966,0.6037898363479759,0.010350946094871822,2.2391490687491755,0.05426356589147287
>=7%,3.0%,0.5%,2.0,60,7678,0.5936441781713988,0.009461071375370524,2.135702155670083,0.05365980724146913
>=7%,3.0%,0.5%,2.0,90,8591,0.5753695728087533,0.00829103471300226,1.9898999051996156,0.05505761843790013
>=7%,3.0%,0.5%,2.0,120,9229,0.5626828475457796,0.007569845733079805,1.9009869764602512,0.056452486726622605
>=7%,3.0%,1.0%,1.0,15,4967,0.6418361183813167,0.014242906215313303,2.7806181776609056,0.028588685323132676
>=7%,3.0%,1.0%,1.0,20,5824,0.6320398351648352,0.01308248695025258,2.6111990709055943,0.03279532967032967
>=7%,3.0%,1.0%,1.0,30,7144,0.6237402015677491,0.01188640707625638,2.464934286671143,0.03429451287793953
>=7%,3.0%,1.0%,1.0,45,8569,0.6092892986346131,0.010570842724443422,2.311868103250049,0.03442642081923212
>=7%,3.0%,1.0%,1.0,60,9632,0.5972799003322259,0.009562012968217709,2.1858510591987987,0.03509136212624585
