signal_date,exit_date,stock_id,stock_name,entry_price,signal_day_ret_pct,signal_vol_ratio,signal_amount_wan,exit_open,exit_open_ret_pct,exit_close,exit_close_ret_pct,exit_vol_ratio,exit_vol_wan,ret_bps,ret_pct,net_ret_pct
2025-02-12,2025-02-13,2236,百達-KY,131.0,9.62,7.6,31799.0,134.0,2.29,135.5,3.44,10.19,0.7,229.0,2.29,1.93
2025-02-12,2025-02-13,6209,今國光,32.75,8.99,8.57,105486.0,32.8,0.15,31.0,-5.34,3.97,1.8,15.3,0.15,-0.2
2025-02-13,2025-02-14,4971,IET-KY,164.0,9.33,5.57,296657.0,163.5,-0.3,166.5,1.52,0.6,0.2,-30.5,-0.3,-0.66
2025-02-13,2025-02-14,2605,新興,27.1,8.62,6.02,57150.0,27.1,0.0,27.1,0.0,4.68,2.2,0.0,0.0,-0.36
2025-02-14,2025-02-17,4510,高鋒,49.15,8.5,6.26,205967.0,49.95,1.63,49.5,0.71,6.67,6.3,162.8,1.63,1.27
2025-02-14,2025-02-17,3548,兆利,197.0,7.07,8.26,306371.0,199.0,1.02,195.5,-0.76,4.7,1.1,101.5,1.02,0.66
2025-02-17,2025-02-18,3707,漢磊,50.7,7.42,4.36,22998.0,52.5,3.55,52.1,2.76,5.88,0.8,355.0,3.55,3.19
2025-02-17,2025-02-18,4563,百德,93.4,7.36,2.8,15241.0,93.9,0.54,94.3,0.96,1.64,0.1,53.5,0.54,0.18
2025-02-18,2025-02-19,6913,鴻呈,174.5,9.75,4.11,60906.0,180.0,3.15,165.0,-5.44,4.57,0.5,315.2,3.15,2.79
2025-02-18,2025-02-19,3213,茂訊,108.5,9.71,5.83,67022.0,109.5,0.92,112.0,3.23,7.24,1.2,92.2,0.92,0.56
2025-02-19,2025-02-20,4563,百德,103.5,9.76,5.6,44574.0,105.0,1.45,99.5,-3.86,4.44,0.4,144.9,1.45,1.09
2025-02-19,2025-02-20,6111,光聚晶電,62.5,7.39,4.4,17842.0,62.8,0.48,63.3,1.28,2.26,0.2,48.0,0.48,0.12
2025-02-20,2025-02-21,3594,磐儀,65.0,8.7,4.99,137051.0,65.4,0.62,63.8,-1.85,3.88,2.0,61.5,0.62,0.26
2025-02-20,2025-02-21,6449,鈺邦,152.5,7.77,4.23,43559.0,151.0,-0.98,148.5,-2.62,1.72,0.1,-98.4,-0.98,-1.34
2025-02-21,2025-02-24,3213,茂訊,123.5,9.78,4.63,133566.0,123.5,0.0,131.5,6.48,4.43,1.4,0.0,0.0,-0.36
2025-02-21,2025-02-24,3022,威強電,100.0,9.77,11.87,329285.0,102.0,2.0,108.0,8.0,8.09,4.0,200.0,2.0,1.64
2025-02-24,2025-02-25,2641,正德,22.15,9.11,7.57,84702.0,23.0,3.84,22.95,3.61,7.87,6.7,383.7,3.84,3.48
2025-02-24,2025-02-25,3022,威強電,108.0,8.0,8.09,417385.0,105.5,-2.31,107.5,-0.46,3.77,2.3,-231.5,-2.31,-2.67
2025-02-25,2025-02-26,3059,華晶科,49.1,9.11,6.8,562050.0,49.5,0.81,48.0,-2.24,4.31,9.3,81.5,0.81,0.46
2025-02-25,2025-02-26,3484,崧騰,64.8,7.64,3.86,14974.0,66.6,2.78,69.5,7.25,9.41,1.1,277.8,2.78,2.42
2025-02-26,2025-02-27,1569,濱川,80.0,8.55,3.11,300784.0,80.2,0.25,81.1,1.37,2.34,3.1,25.0,0.25,-0.11
2025-02-26,2025-02-27,3209,全科,40.4,7.88,10.58,117088.0,40.0,-0.99,38.7,-4.21,3.13,1.0,-99.0,-0.99,-1.35
2025-02-27,2025-03-03,8436,大江,130.0,9.7,9.37,76903.0,132.0,1.54,143.0,10.0,8.73,1.0,153.8,1.54,1.18
