event_date,stock_id,broker,rolling_2y_buy_wan,ret_10d,excess_10d,ret_20d,excess_20d,ret_60d,excess_60d,company_name
2025-03-28,6669,凱基-站前,217527.0,0.05982906,0.1601749,0.0997151,0.17295324,0.49287749,0.55108213,緯穎
2025-06-26,6669,凱基-站前,250853.0,-0.00954198,0.00218461,-0.04198473,-0.04597388,0.22137405,0.15773229,緯穎
2025-09-18,6669,凱基-站前,330004.5,0.0828125,0.08785846,0.2703125,0.26876347,0.3046875,0.30720759,緯穎
2025-12-17,6669,凱基-站前,330870.5,0.07305389,0.04912413,-0.08383234,-0.14065945,-0.0994012,-0.16614395,緯穎
2026-03-25,6669,凱基-站前,309450.5,-0.03457447,-0.04633328,0.23271277,0.1864795,0.24335106,0.09919495,緯穎
2026-06-23,6669,凱基-站前,326651.5,0.07272727,0.07846276,0.17647059,0.22183798,,,緯穎
2026-08-12,6770,凱基-站前,248412.34,-0.04748982,-0.05189364,,,,,力積電
2026-01-06,6781,凱基-站前,201881.45,-0.09848485,-0.13960722,-0.12121212,-0.14224077,-0.26060606,-0.33252002,AES-KY
2026-04-14,6781,凱基-站前,200306.05,0.23463115,0.21625261,0.2704918,0.22284738,0.15778689,0.05439407,AES-KY
2026-07-09,6781,凱基-站前,202261.55,-0.12477876,-0.07328583,0.01327434,0.06512675,,,AES-KY
2026-08-13,6805,凱基-站前,202090.25,0.21584699,0.20958852,,,,,富世達
2026-05-04,8046,凱基-站前,204426.55,-0.19776876,-0.20416872,-0.0821501,-0.15128104,-0.10851927,-0.06571461,南電
2026-07-29,8046,凱基-站前,714320.55,0.43913538,0.35867992,0.34243458,0.25722099,,,南電
2026-02-06,8299,凱基-站前,216312.0,-0.10026385,-0.09838826,0.04221636,-0.00143875,0.44327177,0.34418813,群聯
2026-05-18,8299,凱基-站前,291467.0,0.01279707,-0.04953498,-0.15173675,-0.21461879,-0.19195612,-0.21958627,群聯
2026-08-12,8299,凱基-站前,334383.3,-0.03846154,-0.04286536,,,,,群聯
2026-04-08,8358,凱基-站前,204286.44,0.47102804,0.40470178,0.75327103,0.68029553,1.20560748,1.04904493,金居
2026-07-03,8358,凱基-站前,226822.19,-0.37118644,-0.28780039,-0.44491525,-0.34601552,,,金居
2026-05-21,8996,凱基-站前,210181.1,0.05164319,-0.00799877,0.49295775,0.43107181,0.14084507,0.12962139,高力
2026-08-17,8996,凱基-站前,261781.45,-0.03292181,-0.0391791,,,,,高力
