date,gap_pct,high_open_pct,day_return,walked_lower,f_vol,f_foreign,f_rise,f_fut_short,score_3,score_4,tx_oi,ratio_910,n_foreign_down
2025-05-29,0.008127,0.003435,-0.008545,1,0,0,0,1,0,1,-43204.000000,1.177316,1
2025-06-03,0.005904,0.008355,0.000011,0,0,0,0,1,0,1,-45393.000000,0.971001,0
2025-06-04,0.010153,0.012963,0.012963,0,0,0,0,1,0,1,-39470.000000,1.168061,0
2025-06-05,0.003601,0.001982,-0.000991,1,0,0,1,1,1,2,-37165.000000,1.029771,1
2025-06-09,0.005207,0.004263,0.000773,0,0,0,0,1,0,1,-38541.000000,1.141291,0
2025-06-10,0.006010,0.017044,0.014639,0,0,0,0,1,0,1,-38587.000000,1.164328,0
2025-06-11,0.006035,0.004189,0.004189,0,0,0,0,1,0,1,-37131.000000,1.185568,0
2025-06-17,0.005564,0.007176,0.001759,0,1,0,0,1,1,2,-41036.000000,1.362328,0
2025-06-24,0.012399,0.009071,0.008512,0,1,0,0,1,1,2,-43797.000000,1.653766,0
2025-06-25,0.006900,0.004594,0.003972,0,0,0,0,1,0,1,-43493.000000,1.129076,0
2025-07-01,0.007356,0.013873,0.005976,0,1,0,0,1,1,2,-52001.000000,1.263567,1
2025-07-03,0.005743,0.004791,0.000245,0,1,0,0,1,1,2,-54946.000000,1.575745,0
2025-07-04,0.001919,0.003788,-0.009186,1,0,0,0,1,0,1,-51157.000000,0.902640,0
2025-07-10,0.001753,0.005884,0.005616,0,0,0,0,1,0,1,-58711.000000,1.151626,1
2025-07-16,0.005762,0.006049,0.003282,0,1,0,0,1,1,2,-55352.000000,1.250906,1
2025-07-18,0.010057,0.005247,0.001602,0,1,0,0,1,1,2,-52217.000000,1.419514,0
2025-07-23,0.003291,0.011061,0.011061,0,0,0,0,1,0,1,-44594.000000,0.914689,1
2025-07-24,0.002359,0.003483,0.000003,0,1,0,0,1,1,2,-47841.000000,1.235060,0
2025-07-25,0.003459,0.001320,-0.003846,1,0,1,1,1,2,3,-47930.000000,1.036118,2
2025-07-28,0.004824,0.003720,-0.002731,1,1,0,0,1,1,2,-47417.000000,1.272108,0
2025-07-30,0.003758,0.007428,0.007428,0,0,0,0,1,0,1,-40876.000000,0.900745,1
2025-07-31,0.002637,0.004571,0.000805,0,1,0,0,1,1,2,-37831.000000,1.540318,0
2025-08-05,0.005110,0.007381,0.006902,0,0,0,0,1,0,1,-39080.000000,,0
2025-08-07,0.011515,0.014048,0.012076,0,0,0,0,1,0,1,-36380.000000,,1
2025-08-12,0.001961,0.003353,-0.001012,1,1,0,0,1,1,2,-35575.000000,1.259348,1
2025-08-13,0.003050,0.007218,0.005694,0,1,0,0,1,1,2,-35302.000000,1.317653,0
2025-08-15,0.001161,0.004918,0.002813,0,0,0,0,1,0,1,-34379.000000,1.185556,1
2025-08-21,0.004842,0.011444,0.009364,0,0,1,0,1,1,2,-35143.000000,0.888442,2
2025-08-22,0.002958,0.001607,-0.011174,1,0,0,1,1,1,2,-30387.000000,1.180791,1
2025-08-25,0.014490,0.010503,0.006992,0,1,0,0,1,1,2,-26735.000000,1.602586,0
2025-08-27,0.005954,0.003684,0.002867,0,0,0,0,1,0,1,-27132.000000,1.084698,0
2025-08-29,0.008317,0.005406,-0.008386,1,1,0,0,1,1,2,-26087.000000,1.251442,1
2025-09-02,0.001752,0.007511,-0.004028,1,0,0,0,1,0,1,-26664.000000,,1
2025-09-04,0.005600,0.006358,-0.002287,1,0,0,0,1,0,1,-24788.000000,,0
2025-09-05,0.002664,0.010325,0.010325,0,0,0,0,1,0,1,-23503.000000,,0
2025-09-08,0.004747,0.004840,-0.002579,1,0,0,0,1,0,1,-21304.000000,,0
2025-09-09,0.004199,0.009315,0.008305,0,0,0,0,1,0,1,-21999.000000,,0
2025-09-10,0.007149,0.009561,0.006380,0,0,0,0,1,0,1,-18792.000000,,0
2025-09-11,0.012572,0.001260,-0.011509,1,0,0,1,1,1,2,-17813.000000,,0
2025-09-12,0.005314,0.005625,0.004929,0,0,0,0,1,0,1,-16317.000000,,0
2025-09-18,0.004124,0.008855,0.008855,0,0,0,0,1,0,1,-18862.000000,,1
2025-09-23,0.009289,0.007132,0.004838,0,0,0,0,1,0,1,-17239.000000,,0
2025-09-24,0.005402,0.000185,-0.007292,1,0,1,1,1,2,3,-16200.000000,,2
2025-09-30,0.006176,0.009229,0.003195,0,0,0,0,1,0,1,-25119.000000,,0
2025-10-01,0.009982,0.009491,-0.003657,1,0,0,0,1,0,1,-21930.000000,1.179058,1
2025-10-03,0.002150,0.012331,0.012331,0,0,0,0,1,0,1,-23187.000000,1.022145,0
2025-10-07,0.010023,0.010068,0.006758,0,1,0,0,1,1,2,-20852.000000,1.759066,0
2025-10-09,0.008791,0.005916,0.000011,0,1,0,0,1,1,2,-30405.000000,1.618570,0
2025-10-14,0.013322,0.008249,-0.017922,1,1,0,0,1,1,2,-33061.000000,1.298320,1
2025-10-15,0.004400,0.013551,0.013551,0,0,0,0,1,0,1,-27444.000000,0.788135,1
2025-10-16,0.002259,0.014466,0.011360,0,1,0,0,1,1,2,-21671.000000,1.333795,0
2025-10-20,0.006522,0.010474,0.007576,0,0,0,0,1,0,1,-25586.000000,,0
2025-10-21,0.001947,0.008164,0.000355,0,1,0,0,1,1,2,-25251.000000,1.445563,0
2025-10-28,0.001693,0.001673,-0.003277,1,1,1,1,1,3,4,-24211.000000,1.216260,2
2025-10-29,0.007471,0.008431,0.004859,0,1,0,0,1,1,2,-27454.000000,1.402532,0
2025-10-30,0.001961,0.006259,-0.002212,1,1,0,0,1,1,2,-24421.000000,1.249060,1
2025-11-04,0.001065,0.006693,-0.008750,1,0,1,0,1,1,2,-27880.000000,1.194421,2
2025-11-06,0.006833,0.005557,-0.000250,1,0,0,0,1,0,1,-32088.000000,1.072317,0
2025-11-10,0.005572,0.006165,0.002303,0,1,0,0,1,1,2,-30820.000000,1.346167,1
2025-11-11,0.005814,0.005571,-0.008797,1,1,0,0,1,1,2,-30589.000000,1.495811,0
2025-11-12,0.002466,0.007837,0.003361,0,0,1,0,1,1,2,-31530.000000,1.170474,2
2025-11-17,0.007418,0.004457,-0.005559,1,0,1,0,1,1,2,-34595.000000,1.193319,2
2025-11-24,0.006094,0.006320,-0.003451,1,0,0,0,1,0,1,-33208.000000,0.903281,0
2025-11-26,0.005611,0.012799,0.012799,0,1,0,0,1,1,2,-29704.000000,1.339010,0
2025-11-27,0.003929,0.005154,0.001355,0,1,0,0,1,1,2,-28657.000000,1.323916,0
2025-12-01,0.001726,0.000827,-0.011983,1,1,0,1,1,2,3,-26321.000000,1.265192,0
2025-12-02,0.007601,0.006952,0.000505,0,1,0,0,1,1,2,-29032.000000,1.266292,1
2025-12-03,0.001500,0.008768,0.006789,0,0,0,0,1,0,1,-28363.000000,1.083622,0
2025-12-08,0.001898,0.009623,0.009623,0,0,0,0,1,0,1,-26823.000000,1.139448,0
2025-12-09,0.002129,0.000924,-0.006397,1,1,1,1,1,3,4,-27463.000000,1.573307,2
2025-12-12,0.002597,0.006211,0.003576,0,0,0,0,1,0,1,-31008.000000,1.017663,1
2025-12-17,0.002161,0.006686,-0.002573,1,0,0,0,1,0,1,-34213.000000,0.870285,0
2025-12-19,0.007908,0.006647,0.000383,0,0,0,0,1,0,1,-28731.000000,1.163387,0
2025-12-22,0.010482,0.006506,0.005823,0,0,0,0,1,0,1,-24428.000000,1.169959,0
2025-12-23,0.003677,0.003441,0.002029,0,0,0,0,1,0,1,-25852.000000,0.971803,1
2025-12-24,0.002583,0.003621,-0.000410,1,0,0,0,1,0,1,-25441.000000,1.040440,0
2025-12-26,0.002520,0.005183,0.003957,0,0,0,0,1,0,1,-24484.000000,1.122685,0
2025-12-29,0.003739,0.006240,0.005167,0,0,1,0,1,1,2,-23476.000000,1.112681,2
2026-01-02,0.001833,0.011950,0.011481,0,0,0,0,1,0,1,-25059.000000,1.105974,1
2026-01-05,0.014647,0.018792,0.010925,0,1,0,0,1,1,2,-23154.000000,1.542078,1
2026-01-12,0.006066,0.006868,0.003104,0,0,0,0,1,0,1,-26583.000000,1.149144,0
2026-01-13,0.002080,0.011198,0.002493,0,1,0,0,1,1,2,-26892.000000,1.472548,0
2026-01-14,0.001150,0.008206,0.006481,0,0,1,0,1,1,2,-30117.000000,1.133283,2
2026-01-16,0.001105,0.020444,0.018287,0,1,0,0,1,1,2,-35130.000000,1.657031,1
2026-01-22,0.003993,0.016559,0.011952,0,0,0,0,1,0,1,-24473.000000,1.174261,0
2026-01-23,0.001345,0.007980,0.005434,0,1,0,0,1,1,2,-24293.000000,1.368934,0
2026-01-26,0.001284,0.006068,0.001936,0,1,0,0,1,1,2,-22666.000000,1.200955,1
2026-01-28,0.001975,0.013034,0.013034,0,1,0,0,1,1,2,-25318.000000,1.390638,1
2026-02-03,0.003593,0.017524,0.014421,0,1,0,0,1,1,2,-27673.000000,1.357352,0
2026-02-09,0.005452,0.022213,0.014032,0,1,0,0,1,1,2,-25102.000000,1.496165,0
2026-02-10,0.001083,0.019521,0.019521,0,1,0,0,1,1,2,-23585.000000,1.460841,0
2026-02-23,0.001705,0.016319,0.003275,0,1,0,0,1,1,2,-27665.000000,2.014929,0
2026-02-24,0.007327,0.022507,0.019991,0,0,1,0,1,1,2,-30852.000000,0.992462,2
2026-02-25,0.001513,0.022105,0.018984,0,1,0,0,1,1,2,-29372.000000,1.524069,0
2026-02-26,0.001262,0.003429,-0.001220,1,0,0,0,1,0,1,-35753.000000,1.199282,0
2026-03-11,0.010882,0.032907,0.029754,0,1,0,0,1,1,2,-36856.000000,1.228619,1
2026-03-16,0.004219,0.006695,-0.005925,1,1,1,0,1,2,3,-40347.000000,1.415630,2
2026-03-17,0.001150,0.018809,0.013652,0,1,0,0,1,1,2,-38512.000000,1.418167,0
2026-03-18,0.002740,0.014571,0.012358,0,1,0,0,1,1,2,-36158.000000,1.517480,0
2026-03-24,0.010402,0.009030,-0.013630,1,0,0,0,1,0,1,-37717.000000,1.136381,0
2026-03-25,0.003466,0.029961,0.021813,0,1,0,0,1,1,2,-34108.000000,1.399966,1
2026-03-26,0.004082,0.009440,-0.007088,1,1,0,0,1,1,2,-35947.000000,1.405695,1
2026-04-01,0.005338,0.040445,0.040213,0,0,0,0,1,0,1,-37214.000000,1.081910,0
2026-04-02,0.001302,0.008416,-0.019435,1,1,0,0,1,1,2,-31373.000000,1.384486,0
