資料日期,代號,股票名稱,資料日收盤價,動態大戶級距(張),前週大戶比例(%),本週大戶比例(%),本週變化(百分點)
2016-11-11,5457,宣德,12.453275,1000,53.490000,52.890000,-0.600000
2016-11-11,6217,中探針,46.670621,1000,20.090000,19.490000,-0.600000
2016-11-11,2014,中鴻,10.524882,1000,51.440000,50.840000,-0.600000
2016-11-11,8429,金麗-KY,61.905941,1000,50.770000,50.180000,-0.590000
2016-11-11,3264,欣銓,45.293857,1000,59.190000,58.600000,-0.590000
2016-11-11,2328,廣宇,36.025815,1000,47.420000,46.840000,-0.580000
2016-11-11,3003,健和興,62.542158,1000,59.270000,58.700000,-0.570000
2016-11-11,9962,有益,17.026857,1000,43.890000,43.320000,-0.570000
2016-11-11,1565,精華,916.474360,100,74.760000,74.200000,-0.560000
2016-11-11,6166,凌華,179.338002,400,77.210000,76.660000,-0.550000
2016-11-11,6104,創惟,46.696488,1000,13.090000,12.540000,-0.550000
2016-11-11,3013,晟銘電,22.918545,1000,50.400000,49.850000,-0.550000
2016-11-11,4401,東隆興,129.226365,600,77.280000,76.730000,-0.550000
2016-11-11,6191,精成科,20.292607,1000,61.190000,60.640000,-0.550000
2016-11-11,1589,永冠-KY,138.712035,600,67.700000,67.160000,-0.540000
2016-11-11,2030,彰源,21.213691,1000,53.820000,53.290000,-0.530000
2016-11-11,1537,廣隆,251.935512,400,66.080000,65.560000,-0.520000
2016-11-11,3031,佰鴻,20.103817,1000,46.660000,46.140000,-0.520000
2016-11-11,1310,台苯,21.497615,1000,42.020000,41.510000,-0.510000
2016-11-11,2402,毅嘉,23.494423,1000,40.660000,40.150000,-0.510000
2016-11-11,4952,凌通,50.485414,1000,57.830000,57.320000,-0.510000
2016-11-11,5014,建錩,12.282200,1000,37.870000,37.360000,-0.510000
2016-11-11,3686,達能,7.089731,1000,14.800000,14.300000,-0.500000
2016-11-11,5508,永信建,87.951707,1000,75.540000,75.050000,-0.490000
2016-11-11,9958,世紀鋼,13.486809,1000,67.430000,66.940000,-0.490000
2016-11-11,3625,西勝,23.548246,1000,37.340000,36.850000,-0.490000
2016-11-11,2369,菱生,18.129080,1000,33.940000,33.450000,-0.490000
2016-11-11,2449,京元電子,53.279938,1000,72.470000,71.980000,-0.490000
2016-11-11,3665,貿聯-KY,223.447746,400,54.330000,53.840000,-0.490000
2016-11-11,1729,名稱待補,75.424138,1000,86.180000,85.720000,-0.460000
2016-11-11,8342,益張,,100,85.780000,85.320000,-0.460000
2016-11-11,3293,鈊象,324.820983,200,58.680000,58.220000,-0.460000
2016-11-11,3035,智原,41.872529,1000,32.050000,31.590000,-0.460000
2016-11-11,2498,宏達電,297.088776,200,61.640000,61.190000,-0.450000
2016-11-11,3042,晶技,94.839036,800,60.420000,59.970000,-0.450000
2016-11-11,3514,名稱待補,42.155559,1000,23.670000,23.220000,-0.450000
2016-11-11,4707,磐亞,12.352950,1000,66.890000,66.440000,-0.450000
2016-11-11,2456,名稱待補,94.173792,800,57.380000,56.940000,-0.440000
2016-11-11,3089,名稱待補,12.063221,1000,18.000000,17.560000,-0.440000
2016-11-11,3026,禾伸堂,60.585832,1000,47.570000,47.130000,-0.440000
2016-11-11,2428,興勤,117.411335,600,54.340000,53.910000,-0.430000
2016-11-11,6239,力成,230.451488,400,81.990000,81.570000,-0.420000
2016-11-11,8942,森鉅,129.476682,600,60.300000,59.880000,-0.420000
2016-11-11,3059,華晶科,49.719422,1000,34.670000,34.260000,-0.410000
